Gender,Income,DaysWithoutFrequency,LifetimeValue,UseByTime,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,NumberOfFrequencies,AttendedClasses,NumberOfReferences,Dropout,EnrolledTime,DaysSinceLastVisit,LazinessIndex
1,5600.0,1,185.2,0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,0,0,0,211,1,0.6391668033459078
0,2760.0,31,51.7,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,1,256,321,0.9772882125823302
0,2990.0,46,83.6,0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0,0,1,94,1442,0.9507954731835329
1,1390.0,211,281.0,0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,0,0,0,783,211,0.7632202052091555
0,3340.0,62,133.6,0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0,0,1,198,1568,0.9015909463670657
0,1720.0,307,45.1,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0,1,310,1701,0.9309868875086267
0,1880.0,0,795.2,0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,0,0,1,659,457,0.9835984910611776
0,0.0,25,425.4,0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,48,0,1,298,139,0.6555683122847302
0,2000.0,52,136.1,0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0,0,1,236,532,0.9015909463670657
1,2240.0,48,130.4,0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0,0,1,126,589,0.9671969821223553
1,3420.0,197,500.37,0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,0,0,1,603,616,1.0
1,1440.0,42,148.6,0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0,0,1,137,1252,0.9343939642447106
1,3040.0,40,103.4,0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0,0,1,123,1227,0.9671969821223553
1,3730.0,66,79.5,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,76,1123,1.0
0,1850.0,311,55.2,0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0,0,1,364,1818,0.8964803312629399
1,2000.0,22,115.1,0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,11,0,1,233,40,0.7703788748564868
0,0.0,33,491.55,0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,16,0,0,415,33,0.7981157469717362
0,1790.0,76,67.5,0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0,0,1,90,218,1.0
0,2840.0,22,174.85,0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0,0,1,239,918,0.9000999000999002
0,4270.0,6,295.2,0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0,0,1,418,1346,0.9193808448887456
1,1290.0,1,111.5,0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,0,0,0,43,1,0.6336996336996337
0,1430.0,293,53.2,0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0,0,1,302,1799,0.8619737750172533
1,2860.0,48,120.2,0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,1,0,1,133,99,0.8871331828442438
1,770.0,43,100.0,0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,0,0,1,224,584,0.8851894374282434
1,0.0,1,1253.2,0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,35,0,0,1471,1,0.8249708284714119
1,0.0,38,361.8,0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,18,0,1,284,362,0.8277841561423651
0,5010.0,136,545.8,0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,29,0,1,442,1564,1.0
0,1900.0,5,121.1,0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,8,0,1,209,546,0.8523864195505987
0,1770.0,34,211.8,0,0.0,1.0,0.0,0.0,0.0,0.0,57.0,0,0,1,384,1490,0.9387755102040817
0,2100.0,52,29.6,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,1,59,1326,0.983053719708524
0,4100.0,89,392.2,0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,0,0,1,383,1200,1.0
0,3430.0,43,503.6,1,0.0,1.0,0.0,0.0,0.0,0.0,83.0,0,0,1,490,135,0.8857142857142857
0,1920.0,58,111.6,0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0,0,1,93,1472,0.9835984910611776
0,2070.0,151,399.4,0,0.0,1.0,0.0,0.0,0.0,1.0,27.0,24,0,1,1140,874,1.0
1,3580.0,52,268.6,0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0,0,1,320,624,0.9661074394170479
0,2310.0,34,106.9,0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,0,0,1,128,324,0.8359849106117763
1,0.0,0,346.5,0,1.0,0.0,0.0,0.0,0.0,0.0,98.0,57,0,0,239,0,0.36854190585533864
0,2960.0,8,210.4,0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,3,0,1,187,181,0.8851894374282434
1,1530.0,119,353.6,0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,18,0,1,337,912,1.0
